exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_amy,AMY,TUBB2A,100.0,93.54,49,1476,0.0,270.0,3.1177730192719486,2.0,7.32768,17.65751
ps1_amy,AMY,TUBB2B,100.0,95.46,86,1424,0.0,83.0,2.012765192376843,1.0,2.89825,10.89162
ps1_amy,AMY,TUBB4A,100.0,94.05,64,1485,0.0,81.0,2.4418522446094024,1.0,3.91865,9.61012
ps1_amy,AMY,TUBB4B,100.0,94.1,75,1480,0.0,114.0,1.9839719126850863,1.0,3.05292,17.01249
ps1_amy,AMY,TXN,100.0,91.36,48,1478,0.0,184.0,2.401728918610341,1.0,4.74685,16.05355
ps1_amy,AMY,UBA52,100.0,90.53,31,1498,0.0,259.0,3.1673868546736412,1.0,9.31305,15.44675
ps1_amy,AMY,UBB,100.0,92.02,59,1529,0.0,180.0,2.2277145237434044,1.0,3.55386,21.16987
ps1_amy,AMY,UBC,100.0,95.47,95,1503,0.0,52.0,1.9990722127725375,1.0,2.57319,8.23829
ps1_amy,AMY,UBE2M,100.0,88.8,22,1443,0.0,206.0,3.904333145751266,2.0,8.72569,11.29638
ps1_amy,AMY,UBL5,100.0,90.9,50,1493,0.0,101.0,2.325478645066274,1.0,4.14211,10.75372
ps1_amy,AMY,UBXN6,100.0,90.04,42,1445,0.0,91.0,2.40939930498097,1.0,4.27228,8.69455
ps1_amy,AMY,UCHL1,100.0,90.25,29,1450,0.0,358.0,3.41721531333821,1.0,9.90576,19.92587
ps1_amy,AMY,UQCRH,100.0,88.63,29,1441,0.0,179.0,2.7670944666526403,1.0,7.51688,13.24193
ps1_amy,AMY,USF2,100.0,92.25,41,1525,0.0,167.0,3.065813905508562,2.0,6.02635,10.76945
ps1_amy,AMY,USP11,100.0,93.2,74,1505,0.0,54.0,2.0914851485148516,1.0,2.80602,7.46336
ps1_amy,AMY,VAMP2,100.0,89.81,38,1418,0.0,145.0,2.6141373656403717,1.0,5.33465,11.40799
ps1_amy,AMY,VIM,100.0,96.49,116,1312,0.0,94.0,1.7812734082397004,1.0,2.47408,17.57102
ps1_amy,AMY,VSNL1,100.0,89.26,24,1478,0.0,259.0,3.502363445378151,2.0,9.36234,14.85001
ps1_amy,AMY,WBP1,100.0,91.53,54,1549,0.0,116.0,2.2739726027397262,1.0,3.38351,11.41393
ps1_amy,AMY,WBP2,100.0,91.8,34,1490,0.0,248.0,3.6772639691714835,2.0,8.60906,11.72738
ps1_amy,AMY,WSB2,100.0,91.43,39,1388,0.0,242.0,2.773178094006037,1.0,7.04815,15.97933
ps1_amy,AMY,YWHAB,100.0,89.0,29,1436,0.0,334.0,3.1041484716157206,1.0,8.30333,19.42045
ps1_amy,AMY,YWHAE,100.0,91.24,56,1485,0.0,45.0,2.192888522789676,1.0,2.97662,6.47278
ps1_amy,AMY,YWHAG,100.0,88.37,28,1455,0.0,192.0,2.918987341772152,1.0,7.39761,12.43656
ps1_amy,AMY,YWHAH,100.0,92.27,26,1434,0.0,592.0,4.105866018743492,2.0,14.37825,26.67203
ps1_amy,AMY,YWHAQ,100.0,92.06,61,1545,0.0,54.0,2.1815508021390375,1.0,2.8862,6.88394
ps1_amy,AMY,YWHAZ,100.0,90.42,38,1445,0.0,266.0,2.808518729796539,1.0,7.05338,17.11578
