uid,target,sources,n_sources,note
2bb3361a4b4f,CPB1,ABL1;AHR;ANXA1;ANXA11;ARID5A;ASCC1;ATF6;BCL3;BCL6;BHLHA15;BHLHE40;CD59;CEBPB;CEBPD;CEBPZ;CENPB;CERS2;CIC;CREB3L1;CRTC2;DGCR8;DUSP22;EDN1;EHF;ELF3;ELK3;ENO1;EPAS1;ERF;ESRRA;ETS2;ETV4;EZR;FOSL2;GADD45A;GLIS2;HCLS1;HES1;HHEX;HIF1A;HMGB3;HMGXB3;HNRNPA1;HNRNPUL1;HP1BP3;HSF1;ID1;ID2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF10;KLF13;KLF15;KLF16;KLF3;KLF5;KLF6;KMT2B;LRRFIP1;MAFB;MAFF;MAFG;MBNL2;MLXIP;MSC;MYC;NFATC4;NFE2L2;NFIC;NFIL3;NFKB1;NFKB2;NME1;NMI;NOC2L;NUCB1;PDCD11;PHLDA2;PKM;POLE3;POU5F1;PQBP1;PSMD12;PUM3;RAN;RARA;RBMS1;RELA;RELB;RFC2;RORC;RUFY3;SCMH1;SMARCA1;SNAI1;SNAI2;SND1;SOX18;SOX4;SP1;SPI1;SREBF2;SRF;STAT1;STAT3;STAT5A;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TFE3;TGIF1;TOB2;TRAF4;TRIB2;TRIB3;TRIM21;TRIM28;TRIM69;TRIP10;UBXN1;VAMP3;VEZF1;VPS72;XBP1;YWHAZ;ZBTB16;ZNF189;ZNF195;ZNF217;ZNF300;ZNF354A;ZNF513;ZNF524;ZNF581;ZNF598;ZNF688;ZNF787,142,exp-coregnet_pan-tool-coregnet
ebea1af8188c,CTRB1,ACO1;AHR;ANXA1;ANXA11;ARID5A;ASCC1;BCL3;BCL6;BHLHE40;CDK2AP1;CEBPD;CERS2;CERS6;CIC;CREB3L1;CTNNB1;DAB2;EBF4;EDN1;ELF3;ELK3;ENO1;EPAS1;ETS2;ETV4;ETV5;EZR;FOSB;FOSL2;FOXQ1;GADD45A;GLIS2;GTF2F1;GTF2I;HCLS1;HDAC1;HIF1A;HMGA1;HMGB2;HMGB3;HNRNPA1;HNRNPC;HTATIP2;ID1;ID2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF5;LRRFIP1;MAFF;MAFG;MRPL1;MSC;NFE2L2;NFIL3;NFIX;NFKB1;NFKB2;NME1;NMI;PHLDA2;PKM;PPP5C;PRDX5;PRNP;PUM3;RAN;RBM7;RBMS1;RELA;RELB;RFC2;RFX5;RUFY3;SCAND1;SMARCA1;SMARCA5;SNAI1;SNAI2;SND1;SOX18;SOX4;SPI1;SRF;STAT1;STAT3;STAT5A;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TOB2;TRAF4;TRIB1;TRIB2;TRIB3;TRIM69;TRIP10;UTP18;XBP1;YWHAZ;ZNF189;ZNF217;ZNF436;ZNF710;ZNF787,111,exp-coregnet_pan-tool-coregnet
de5af29b9dd2,CTRB2,ATF3;BCL3;BCL6;BHLHE40;CEBPD;EDN1;EGR1;ELF3;ETS2;ETV4;ETV5;FOS;FOSB;FOSL2;IRF1;IRF7;JUNB;KDM5D;KLF6;MAFF;MSC;MYC;NFIL3;NFKB2;NR4A1;NR4A2;POU5F1;RELB;STAT3;TAGLN2;TRIB2;TRIB3;UBB;ZNF710,34,exp-coregnet_pan-tool-coregnet
35f635c40136,CTRC,AHR;ANXA1;ANXA11;ARID5A;ASCC1;ATF3;ATF6;AVEN;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;CERS2;CIC;CREB3L1;CTNNB1;DAZAP1;DUSP22;EBF4;EDN1;ELF1;ELF3;ENO1;EPAS1;ESRRA;ETS1;ETS2;ETV4;EZR;FOSL2;GADD45A;GLIS2;HCLS1;HES6;HEYL;HIF1A;HMGB2;HMGB3;HNRNPA1;HP1BP3;ID1;ID2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF10;KLF13;KLF16;KLF3;KLF5;KLF6;KLF7;LRRFIP1;MAFB;MAFF;MAFG;MBNL2;MED30;MLXIP;MSC;MYC;NFE2L2;NFIC;NFIL3;NFKB2;NME1;NMI;PHLDA2;PKM;POLE3;POU5F1;PRNP;PUM3;RAN;RBM7;RBMS1;RELA;RELB;RFC2;RORA;RORC;RUFY3;SMARCA1;SNAI1;SNAI2;SNRPB2;SOD1;SOX4;SP110;SPI1;SREBF2;SRF;STAT1;STAT3;STAT5A;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TFE3;TRAF4;TRIB1;TRIB2;TRIB3;TRIM21;TRIP10;UTP18;VEZF1;XBP1;YWHAZ;ZBTB16;ZBTB4;ZBTB7B;ZNF189;ZNF217;ZNF513;ZNF581;ZNF710;ZNF787,123,exp-coregnet_pan-tool-coregnet
7c27efc41268,CTRL,AHR;ARID5A;ATF3;BCL3;BCL6;BHLHE40;CEBPD;CREB3L1;ELF3;ENO1;ETS2;ETV4;FOSL2;GLIS2;HIF1A;HMGB3;IRF1;IRF7;IRF9;JUNB;KLF16;MAFF;MAFG;MSC;MYC;NFE2L2;NFIL3;NFKB2;NMI;PHLDA2;POU5F1;RELA;RELB;RUFY3;SOX4;SPI1;STAT3;TAGLN2;TEAD3;TRAF4;TRIB2;TRIB3;TRIM69;TRIP10;ZNF710,45,exp-coregnet_pan-tool-coregnet
bb71425b9b0c,CTSD,ANXA11;ARID5A;BCL3;BCL6;CEBPD;CERS2;CIC;ELF3;ENO1;ETS2;EZR;FOSL2;GLIS2;HCLS1;HIF1A;HNRNPA1;IRF1;JUNB;MAFB;NFE2L2;NFKB1;NMI;PKM;RELB;SOX4;SPI1;SREBF2;SRF;STAT3;TAGLN2;TRIB2;YWHAZ,32,exp-coregnet_pan-tool-coregnet
e8e13ffb0503,CUZD1,ASCC1;ATF6;BCL3;BCL6;BHLHA15;BHLHE40;CEBPD;CREB3L1;ELF3;EPAS1;FOSB;FOSL2;JUNB;KDM5D;MYC;NR4A1;POU5F1;RELB;STAT3;TAGLN2;TEAD4;TRIB2;UBB;XBP1;ZNF710,25,exp-coregnet_pan-tool-coregnet
243f439b0940,DDIT4,ASCC1;ATF3;BCL3;BCL6;BHLHA15;BHLHE40;CEBPB;CEBPD;CREB3L1;ELF3;FOSB;FOSL2;HEYL;JUNB;KDM5D;KLF13;KLF6;MYC;NR4A2;POU5F1;STAT3;TRIB2;UBB;ZBTB16;ZNF710,25,exp-coregnet_pan-tool-coregnet
7a4ec1c68a24,DEFB1,ASCC1;ATF6;BCL3;BCL6;BHLHA15;CEBPD;DUSP22;EPAS1;FOSB;FOSL2;HMGB3;JUNB;KDM5D;NFIC;NR4A1;POU5F1;RFC2;STAT3;TAGLN2;TEAD4;UBB;XBP1;ZBTB16;ZNF189;ZNF710,25,exp-coregnet_pan-tool-coregnet
12e60216c357,DEPP1,ATF3;BCL3;BCL6;BHLHE40;CEBPD;ELF3;ETS2;FOSB;FOSL2;IRF1;JUNB;KDM5D;KLF6;MYCL;NFIL3;NFKB2;RELB;STAT3;TAGLN2;TRIB2;UBB,21,exp-coregnet_pan-tool-coregnet
